x,y,inside_circle
0.14076313497435233,-0.1858727579218995,1
-0.3526867449812894,0.2743816986660128,1
0.7818665190420044,0.5897056906479456,1
-0.04148818748432137,0.1308809968766016,1
0.23693787793509857,-0.2815605595140591,1
0.2049132817460264,0.03810925036891688,1
-0.7927160348251108,-0.11221803963892185,1
-0.2035317605088658,-0.34116108459650496,1
-0.47938697634994165,-0.6680749212808328,1
-0.19325071745475464,-0.3463937891737432,1
0.5262311704344997,0.06122806200742237,1
-0.15518421693463647,0.2354985758654331,1
0.4486288319426277,0.475408118079778,1
-0.5706210659402025,0.6930538610303065,1
0.7414904861916898,-0.804794489712692,0
0.8444964628229503,-0.5633694017862863,0
-0.05183375738583873,0.9972067801145552,1
-0.13150067542766797,-0.7924741752598394,1
0.6524752228261752,-0.7624662595141802,0
-0.5238486357229242,0.36816342301308214,1
-0.5895099989034529,0.08049472051553552,1
-0.3520957402903788,0.30514707833878685,1
-0.22010945856052544,-0.2521574477053934,1
0.7343177625690482,0.7170937942424778,0
-0.3146885488772493,-0.8103746141383097,1
-0.3114235299776247,-0.19611783560644191,1
-0.4965735515853542,-0.8961145031531814,0
0.3564272683444687,-0.25838309674296545,1
-0.6508241080442039,0.9851470568523761,0
-0.52501627457634,-0.34498246911530606,1
-0.11815788576902952,-0.1730606303105049,1
-0.572156856234254,0.23160905420966138,1
-0.3040834428130317,-0.2800586618367027,1
-0.006061186565888388,0.23925540685217572,1
-0.6192007138457363,-0.2349602369739865,1
-0.09391088401244807,0.1183271345528627,1
-0.7775739265195567,0.7173931339397652,0
-0.3255346922701732,0.24637561274859077,1
-0.8027656962900664,-0.7367350365637566,0
-0.04398632022610549,-0.04664150577820858,1
-0.858348267536023,-0.09254681383874486,1
-0.14267743452507609,-0.8810586248830992,1
0.09463161067406989,-0.8695579083413381,1
0.47526690773261815,0.5933609890341833,1
-0.17734708725586756,0.7654047377369722,1
0.6433919392354384,-0.9396055239569305,0
0.8213820988254947,-0.24057784973763563,1
-0.10177724789970011,-0.8009491483168976,1
-0.8061231145184986,0.7483889971235946,0
0.8301504291809614,-0.36806141075817633,1
-0.9734421935139568,0.5878759703940366,0
0.14850690448195425,0.3353423201510908,1
-0.694271972876759,-0.2515920148315225,1
-0.9110772597316439,0.8359834049344792,0
-0.9437683325107142,-0.9105085778272748,0
-0.9183084294950556,-0.853797552306937,0
-0.11427603898006033,0.6169084076664288,1
0.22409093193384644,-0.43787935933595157,1
-0.581991178461227,0.2689961666654659,1
-0.7930723889218998,0.6279409622009053,0
-0.9476700794245345,0.30028852394989025,1
-0.6804695333335784,0.22499515152533145,1
0.6434439044184024,-0.5496872633856476,1
0.8528987297966912,0.1260511241397757,1
-0.05931947545369276,-0.20963715130871274,1
-0.588672166247463,-0.39334936193082815,1
-0.1408743446113605,-0.7109420912894768,1
